"","lyftdf1","id"
"43","Calling all Clemson Tigers football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","43"
"44","Going to Kinnick Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/kOh7JgTD8c  #uber #Lyft","44"
"45","This Week In Accidental Misperceived Racism: A black man tried to hail me on Sunset. We made eye contact, but I kep… https://t.co/wYbEbnvheC","45"
"46","Heading to Dover Malin Dover? Get there free w/ $50 Free Lyft Credit TEN Free Rides w/ Lyft Code DUSK #mall #store #shop #Lyft","46"
"47","Visiting Memphis ? Get around free w/ Lyft - 10 free rides w/ Lyft Promo Code:  OATH #travel #uber #Lyft #free","47"
"48","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw…","48"
"49","Walking around Bakersfield and need a taxi? Get 10 free rides w/ Lyft Promo Code:  OATH #limo #cab #Lyft #uber","49"
"50","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw…","50"
"51","Headin' to FedExField ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","51"
"52","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw…","52"
"53","Had a terrifying experience with an unstable @lyft driver today. Said she hoped I got raped and claimed to be part… https://t.co/U2xiDLzkNl","53"
"54","Calling all Rice Owls football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","54"
"55","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw…","55"
"56","RT @askboomer1949: Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT 
RT
Tw…","56"
"57","Beware #Lyft 
Beware bigots
Beware under regulated businesses
Beware homophobic violence
Beware Christians 
#LGBT… https://t.co/fffFcNw2Da","57"
"58","Going to University of Kansas Memorial Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX… https://t.co/k4nwQ3ag8G","58"
"59","Love Taco John's? Get to it free with Lyft ($50 Lyft credit) New Lyft Promo code: NUMB #gift #Lyft #uber #taxi #food #restaurant #cab","59"
"60","@lyft @AskLyft how is it that one of your drivers extorted me out of $80 to return a cell I left in his car &amp; custo… https://t.co/ccPpLtEFa2","60"
"61","Toronto! Lyft is launching!! Sign up using ""LaunchToronto"" for free rides!! https://t.co/ciHfcoGUiq #lyft #Toronto #uber #promo","61"
"62","In Piscataway, New Jersey ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","62"
"63","Going to Davis Wade Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/yygnkAsAlM  #uber #Lyft","63"
"64","In Baltimore, Maryland ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","64"
"65","#lyft drivers &amp; #rotary members https://t.co/N123kvqayl","65"
"66","Going to Kyle Field ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/rQ9ITiJOby  #uber #Lyft","66"
"67","Headin' to Ladd Peebles Stadium ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","67"
"68","Want a free ride to Franklin Field ? Go free w/ Lyft - $50 Lyft credit for new users w/ Promo CODE DUSK #freeLyft #Lyft #stadium #uber","68"
"69","Make great #money driving with #Lyft and get a sign up bonus with this #exclusive link! https://t.co/XyfOnkhVfC","69"
"70","What an @$$hole, boycotting yellow cabs #yellowcabs #vancouver #uber #Lyft #racism review their permits #bullies si… https://t.co/5GdrpySb6s","70"
"71","Want a free taxi ride to FedExField ? Go w/ Lyft - $50 Lyft credit for new users w/ code: LICK #freeLyft #Lyft #stadium #uber","71"
"72","Walking around Cincinnati and need a taxi? Get 10 free rides w/ Lyft Promo Code:  OATH #limo #cab #Lyft #uber","72"
"73","Claim ur 10 Free Lyft rides today! From #vegas to #la to #nyc to #seattle, #lyft has you covered.  - Use code ZOOT","73"
"74","Going to Rimrock Malin Billings? Download Lyft app &amp; go free Use Lyft Coupon Code COAX #mall #store #shop #Lyft #shopping","74"
"75","Been religiously using #lyft and remember why... https://t.co/RlOpTEDczE","75"
"76","In New York City, New York ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","76"
"77","@AskLyft! Why would you set up Lyft line so bad. Why would they pick me up then add another rider &amp; bring me back t… https://t.co/gYjYlvhg3T","77"
"78","Want a free ride to Kyle Field ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","78"
"79","Headin' to M. M. Roberts Stadium ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","79"
"80","@680NEWS So do i  take lyft #Lyft","80"
"81","Love Ruby Tuesday? Get there free w/ Lyft - $50 credit Use Lyft Promo Code COAX #food #restaurant #foodie #grub #Lyft #uber #date","81"
"82","Walking around Napa and Sonoma County and need a taxi? Get 10 free rides w/ Lyft Promo Code:  OATH #limo #cab #Lyft #uber","82"
"83","Calling all Jackson State Tigers fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","83"
"84","Chief of CSX rail company takes sudden medical leave https://t.co/e6ULdg9JPQ #rideshare #lyft #ridesharing https://t.co/qKn8cWcXhw","84"
"85","Going to Bank of America Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/rQ9ITiJOby  #uber #Lyft","85"
"86","Headin' to Gaylord Family Oklahoma Memorial Stadium ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","86"
